"","time","acte_death2","acte_death2u","acte_death2l","acte_fed2","acte_fed2l","acte_fed2u"
"170",170,0.610925003947935,0.644014383779831,0.576159392191198,0.103145875367192,0.11107631807337,0.0950027925384842
"171",171,0.609222660460373,0.642529614255987,0.574249470778361,0.104442703320244,0.112458216347315,0.0962062911234393
"172",172,0.607510009454854,0.641034022736052,0.572330206354595,0.105751523264716,0.113852430864211,0.0974212549030398
"173",173,0.605787154040942,0.639527686832669,0.570401730298382,0.10707237051301,0.115258987102078,0.0986477264097683
"174",174,0.604054198190675,0.638010684961794,0.568464174797234,0.108405279149989,0.116677909127676,0.0998857471524568
"175",175,0.60231124672888,0.636483096339035,0.566517672829764,0.109750282013261,0.118109219578476,0.101135357596521
"176",176,0.600558405323207,0.634945000975781,0.564562358147434,0.111107410673655,0.119552939644925,0.102396597144284
"177",177,0.598795780473889,0.633396479675113,0.562598365256009,0.112476695415886,0.121009089053022,0.103669504115408
"178",178,0.59702347950321,0.631837614027522,0.560625829396702,0.113858165219435,0.122477686047198,0.104954115727426
"179",179,0.595241610544714,0.630268486406392,0.55864488652703,0.11525184773964,0.123958747373543,0.106250468076409
"180",180,0.593450282532121,0.628689179963287,0.556655673301379,0.116657769289022,0.125452288263348,0.107558596117746
"181",181,0.591649605187982,0.627099778623012,0.554658327051282,0.118075954818843,0.126958322417011,0.108878533647082
"182",182,0.589839689012053,0.625500367078466,0.552652985765433,0.11950642790092,0.12847686198829,0.110210313281392
"183",183,0.5880206452694,0.623891030785273,0.550639788069415,0.120949210709691,0.130007917568933,0.111553966440217
"184",184,0.586192585978243,0.622271855956194,0.548618873205178,0.12240432400456,0.131551498173675,0.112909523327073
"185",185,0.584355623897522,0.620642929555334,0.546590381010253,0.123871787112516,0.133107611225632,0.114277012911036
"186",186,0.582509872514209,0.619004339292109,0.544554451896723,0.125351617911045,0.134676262542083,0.115656462908514
"187",187,0.580655446030355,0.61735617361502,0.54251122682994,0.126843832811342,0.136257456320663,0.117047899765218
"188",188,0.578792459349877,0.615698521705183,0.540460847307026,0.128348446741837,0.137851195125975,0.11845134863834
"189",189,0.576921028065095,0.614031473469659,0.53840345533513,0.129865473132042,0.139457479876616,0.119866833378955
"190",190,0.575041268443011,0.612355119534556,0.536339193409473,0.131394923896722,0.141076309832648,0.121294376514636
"191",191,0.573153297411346,0.610669551237915,0.534268204491185,0.132936809420423,0.142707682583504,0.122733999232325
"192",192,0.571257232544322,0.608974860622371,0.532190631984933,0.134491138542335,0.144351594036344,0.124185721361433
"193",193,0.569353192048215,0.60727114042761,0.530106619716357,0.136057918541525,0.146008038404882,0.12564956135721
"194",194,0.567441294746655,0.60555848408259,0.528016311909319,0.137637155122542,0.147677008198661,0.127125536284373
"195",195,0.565521660065705,0.603836985697561,0.525919853162978,0.139228852401395,0.149358494212824,0.128613661801011
"196",196,0.563594408018706,0.602106740055859,0.523817388428686,0.140833012891925,0.15105248551835,0.130113952142783
"197",197,0.56165965919089,0.600367842605486,0.521709062986739,0.142449637492579,0.152758969452794,0.131626420107399
